,address,name,longitude,latitude
0,"['22 Bayview Ave Ste 15', 'Stonington, CT 06378-1143 | Map']",The Beer'd Brewing Company,0.0,0.0
1,"['1716 Topeka St', 'Norman, OK 73069-8224 | Map']",(405) Brewing Co,0.0,0.0
2,"['407 Radam Ln Ste F200', 'Austin, TX 78745-1197 | Map']",(512) Brewing Co,0.0,0.0
3,"['490 Mill St', 'Reno, NV 89502 | Map']",10 Torr Distilling and Brewing,0.0,0.0
4,"['294793 US Highway 101', 'Quilcene, WA 98376-9000 | Map']",101 Brewery,0.0,0.0
5,"['1304 Scott St Ste D', 'Petaluma, CA 94954-7100 | Map']",101 North Brewing Company,0.0,0.0
6,"['1043 Park St', 'Castle Rock, CO 80109-1585 | Map']",105 West Brewing Co,0.0,0.0
7,"['2005 2nd Ave', 'Anoka, MN 55303-2243 | Map']",10K Brewing,0.0,0.0
8,"['491 Washington St', 'Abington, MA 02351-2419 | Map']",10th District Brewing Company,0.0,0.0
9,"['6820 Bourgeois Rd', 'Houston, TX 77066-3107 | Map']",11 Below Brewing Company,0.0,0.0
10,"['141 E Main St', 'John Day, OR 97845-1210 | Map']",1188 Brewing Co,0.0,0.0
11,"['80 Earhart Dr Ste 20', 'Williamsville, NY 14221-7804 | Map']",12 Gates Brewing Company,0.0,0.0
12,"['3000 E Ray Rd Bldg 6', 'Gilbert, AZ 85296-7832 | Map']",12 West Brewing Company,0.0,0.0
13,"['Mesa, AZ 85207', 'Type: Micro']",12 West Brewing Company - Production Facility,0.0,0.0
14,"['3090 Shirley Dr', 'Jackson, MI 49201-7010 | Map']",127 Brewing,0.0,0.0
15,"['820 Main St', 'Louisville, CO 80027-1865 | Map']",12Degree Brewing,0.0,0.0
16,"['141 E 4th St Ste LL2', 'Saint Paul, MN 55101-1639 | Map']",12welve Eyes Brewing,0.0,0.0
17,"['7391 Forbes Rd', 'Cincinnati, OH 45233-1013 | Map']",13 Below Brewery,0.0,0.0
18,"['250 Mill St, Suite PW3101', 'Taylors, SC 29687 | Map']",13 Stripes Brewery,0.0,0.0
19,"['6410 SE Milwaukie Ave', 'Portland, OR 97202-5518 | Map']",13 Virtues Brewing Co,0.0,0.0
20,"['1323 Capital Blvd 1323 R and D', 'Raleigh, NC 27603-1117 | Map']",1323 R & D,0.0,0.0
21,"['31125 Via Colinas Ste 907', 'Westlake Village, CA 91362-3974 | Map']",14 Cannons Brewing Company,0.0,0.0
22,"['Crosslake, MN 56442', 'Phone: (218) 692-4129']",14 Lakes Brewery,0.0,0.0
23,"['Alexandria, OH', 'Type: Micro']",1487 Brewery,0.0,0.0
24,"['133 N Main St Ste 7', 'Saint Albans, VT 05478-1735 | Map']",14th Star Brewing,0.0,0.0
25,"['753 Reading Rd', 'Mason, OH 45040-1303 | Map']",16 Lots Brewing,0.0,0.0
26,"['413 S Bedford St', 'Georgetown, DE 19947-1849 | Map']",16 Mile Brewing Co,0.0,0.0
27,"['9542 Main St', 'Holland Patent, NY 13354 | Map']",16 Stone Brewpub,0.0,0.0
28,"['1129 Irvin Garrish Hwy', 'Ocracoke, NC 27960 | Map']",1718 Ocracoke Brewing,0.0,0.0
29,"['11109 Plank Rd', 'Spotsylvania, VA 22553-4258 | Map']",1781 Brewing Company,0.0,0.0
30,"['2010 A State Ave', 'Coraopolis, PA 15108 | Map']",180 and Tapped,0.0,0.0
31,"['100 B South Olive St', 'okolona, MS 38860 | Map']",1817 Brewery,0.0,0.0
32,"['342 E Ward St', 'Milwaukee, WI 53207-1348 | Map']",1840 Brewing Company,0.0,0.0
33,"['Mariposa, CA 95338', 'Type: Micro']",1850 Brewing Company,0.0,0.0
34,"['5417 Oakley Ave', 'Hammond, IN 46320-1817 | Map']",18th Street Brewery,0.0,0.0
35,"['5725 Miller Ave', 'Gary, IN 46403-2871 | Map']",18th Street Brewery,0.0,0.0
36,"['1301 S Chestnut St', 'Assumption, IL 62510-8504 | Map']",1905 Brewing Company,0.0,0.0
37,"['2045 N Forbes Blvd Ste 105', 'Tucson, AZ 85745-1444 | Map']",1912 Brewing,0.0,0.0
38,"['7324 NE 175th St', 'Kenmore, WA 98028-2500 | Map']",192 Brewing,0.0,0.0
39,"['1337 Lincoln Ave Unit 1', 'Holbrook, NY 11741-2275 | Map']",1940's Brewing Company,0.0,0.0
40,"['39 River Rd Ste 6', 'Essex Junction, VT 05452-3879 | Map']",1st Republic Brewing Co,0.0,0.0
41,"['202 E Main St', 'White Sulphur Springs, MT 59645-9081 | Map']",2 Basset Brewery,0.0,0.0
42,"['228 Church St', 'Montrose, PA 18801-1271 | Map']",2 Dogz and A Guy Brewing,0.0,0.0
43,"['80 Columbia St', 'Bangor, ME 04401-6319 | Map']",2 Feet Brewing Company,0.0,0.0
44,"['6856 S 300 W', 'Midvale, UT 84047-1083 | Map']",2 Row Brewing,0.0,0.0
45,"['9925 Discovery Blvd', 'Manassas, VA 20109 | Map']",2 Silos Brewing Company,0.0,0.0
46,"['Whitehall, OH 43213-1308', 'Type: Micro']",2 Tones Brewing Co.,0.0,0.0
47,"['1018 Santa Rosa Plz', 'Santa Rosa, CA 95401-6399 | Map']",2 Tread Brewing Co,0.0,0.0
48,"['18 W Main St', 'Beacon, NY 12508-2512 | Map']",2 Way Brewing Company,0.0,0.0
49,"['209 Trade St', 'Danville, VA 24541-3545 | Map']",2 Witches Winery and Brewing Company,0.0,0.0
50,"['14148 NE 190th St Ste A', 'Woodinville, WA 98072-8437 | Map']",20 Corners Brewing LLC,0.0,0.0
51,"['3438 Stoluckquamish Ln', 'Arlington, WA 98223-9056 | Map']",210 Brewing Co,0.0,0.0
52,"['217 South St S', 'Wilson, NC 27893-4911 | Map']",217 Brew Works,0.0,0.0
53,"['563 2nd St', 'San Francisco, CA 94107-1411 | Map']",21st Amendment Brewery Cafe,0.0,0.0
54,"['2010 KY Route 321', 'Prestonsburg, KY 41653-9103 | Map']",23 Brewing Company / Lizzie B's Cafe,0.0,0.0
55,"['10321 E Day Mt Spokane Rd', 'Mead, WA 99021 | Map']",238 Brewing Company,0.0,0.0
56,"['3512 Clinton Pkwy', 'Lawrence, KS 66047-2145 | Map']",23rd Street Brewery,0.0,0.0
57,"['2600 E Atlantic Blvd', 'Pompano Beach, FL 33062-4940 | Map']",26 Degree Brewing Company,0.0,0.0
58,"['8680 Miralani Dr Ste 123', 'San Diego, CA 92126-6391 | Map']",2Kids Brewing Company,0.0,0.0
59,"['1601 Sublette Ave', 'Saint Louis, MO 63110-1924 | Map']",2nd Shift Brewing Co,0.0,0.0
60,"['117 Chestnut St Frnt', 'Philadelphia, PA 19106-4700 | Map']",2nd Story Brewing Company,0.0,0.0
61,"['120 Concord Rd', 'Aston, PA 19014-2909 | Map']",2SP Brewing Company,0.0,0.0
62,"['Fort Wayne, IN', 'Phone: (260) 402-7644']",2Toms Brewing Company,0.0,0.0
63,"['222 22nd St S', 'Saint Petersburg, FL 33712-1240 | Map']",3 Daughters Brewing,0.0,0.0
64,"['Sebastopol, CA 95472-5937', 'Phone: (707) 228-7309']",3 Disciples Brewing,0.0,0.0
65,"['7140 E County Line Rd', 'Highlands Ranch, CO 80126-3926 | Map']",3 Freaks Brewing Co,0.0,0.0
66,"['898 Via Lata Ste A', 'Colton, CA 92324-3920 | Map']",3 Iron Brewing Company,0.0,0.0
67,"['2505 Manatee Ave E', 'Bradenton, FL 34208-2421 | Map']","3 Keys Brewing Company, LLC",0.0,0.0
68,"['2405 Squire Pl Ste 200', 'Farmers Branch, TX 75234-4714 | Map']",3 Nations Brewing,0.0,0.0
69,"['1837 North Ave', 'Sheboygan, WI 53083-4620 | Map']",3 Sheeps Brewing Co,0.0,0.0
70,"['136 W 1st Ave', 'Albany, OR 97321 | Map']",3 Sheets Brewery,0.0,0.0
71,"['6400 Chillum Pl NW Ste B', 'Washington, DC 20012-2111 | Map']",3 Stars Brewing Co,0.0,0.0
72,"['39 Ragged Rock Rd Unit 5', 'Old Saybrook, CT 06475-1518 | Map']",30 Mile Brewing Co.,0.0,0.0
73,"['335 1st Ave Unit C', 'Longmont, CO 80501-5958 | Map']",300 Suns Brewing Company,0.0,0.0
74,"['8655 Production Ave Ste A', 'San Diego, CA 92121-2258 | Map']",32 North Brewing Co,0.0,0.0
75,"['4802 Main St', 'Shallotte, NC 28470 | Map']",34 Degree North Experiment Station,0.0,0.0
76,"['7144 183rd St', 'Tinley Park, IL 60477-3933 | Map']",350 Brewing Co,0.0,0.0
77,"['8071 S Broadway Ste A', 'Littleton, CO 80122-2730 | Map']",38 State Brewing,0.0,0.0
78,"['2000 Coastal Highway STE 105', 'Rehoboth Beach, DE 19971 | Map']",38°-75° Brewing,0.0,0.0
79,"['4 Knowlton Ave', 'Worcester, MA 01603 | Map']",3cross Fermentation Cooperative,0.0,0.0
80,"['1625 N Main St', 'Fuquay Varina, NC 27526 | Map']",3rd Degree Brewhouse,0.0,0.0
81,"['120 Partin Dr N', 'Niceville, FL 32578-2053 | Map']",3rd Planet Brewing,0.0,0.0
82,"['134 Industrial Park Dr', 'Trenton, NC 28585-9593 | Map']",3rd Rock Brewing Company,0.0,0.0
83,"['10408 Watterson Trl', 'Louisville, KY 40299-3702 | Map']",3rd Turn Brewing,0.0,0.0
84,"['501 N Bi State Blvd', 'Delmar, DE 19940-1106 | Map']",3rd Wave Brewing Co,0.0,0.0
85,"['2811 E Galloway St Ste A', 'Springfield, MO 65804-4601 | Map']",4 By 4 Brewing Company,0.0,0.0
86,"['8855 W 116th Cir Ste 3', 'Broomfield, CO 80021-2521 | Map']",4 Noses Brewing Company,0.0,0.0
87,"['101 E Oak St, Ste D', 'Bozeman, MT 59715-2967 | Map']",406 Brewing Company,0.0,0.0
